title,keywords,journal,abstract,publication_date,authors,Topic Words
Overexpression of a membrane transport system MSMEG_1381 and MSMEG_1382 confers multidrug resistance in Mycobacterium smegmatis.,"['Drug resistance', 'Efflux pump', 'MmpL', 'Mycobacteria', 'Tet(R) transcriptional regulator']",Microbial pathogenesis,"Mycobacterium tuberculosis is a leading cause of human mortality worldwide, and the emergence of drug-resistant strains demands the discovery of new classes of antimycobacterial that can be employed in the therapeutic pipeline. Previously, a secondary metabolite, chrysomycin A, isolated from Streptomyces sp. OA161 displayed potent bactericidal activity against drug-resistant clinical isolates of M. tuberculosis and different species of mycobacteria. The antibiotic inhibits mycobacterial topoisomerase I and DNA gyrase, leading to bacterial death, but the mechanisms that could cause resistance to this antibiotic are currently unknown. To further understand the resistance mechanism, using M. smegmatis as a model, spontaneous resistance mutants were isolated and subjected to whole-genome sequencing. Mutation in a Tet",2023-10-15,"[{'lastname': 'Salini', 'firstname': 'S', 'initials': 'S', 'affiliation': 'Mycobacterium Research Laboratory, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram 695014, India.'}, {'lastname': 'Muralikrishnan', 'firstname': 'Balaji', 'initials': 'B', 'affiliation': 'Mycobacterium Research Laboratory, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram 695014, India; Indian Institute of Science Education and Research (IISER), Tirupati, 517507, India.'}, {'lastname': 'Bhat', 'firstname': 'Sinchana G', 'initials': 'SG', 'affiliation': 'Mycobacterium Research Laboratory, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram 695014, India.'}, {'lastname': 'Ghate', 'firstname': 'Sudeep D', 'initials': 'SD', 'affiliation': 'Center for Bioinformatics, NITTE Deemed to be University, Mangaluru 575018, India.'}, {'lastname': 'Rao', 'firstname': 'R Shyama Prasad', 'initials': 'RSP', 'affiliation': 'Center for Bioinformatics, NITTE Deemed to be University, Mangaluru 575018, India.'}, {'lastname': 'Kumar', 'firstname': 'R Ajay', 'initials': 'RA', 'affiliation': 'Mycobacterium Research Laboratory, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram 695014, India.'}, {'lastname': 'Kurthkoti', 'firstname': 'Krishna', 'initials': 'K', 'affiliation': 'Mycobacterium Research Laboratory, Rajiv Gandhi Centre for Biotechnology, Thiruvananthapuram 695014, India. Electronic address: kurthkoti@rgcb.res.in.'}]",Rifampicina
Acute liver failure in low-income and middle-income countries.,[],The lancet. Gastroenterology & hepatology,"Acute liver failure is a rare condition involving the rapid development, progression, and worsening of liver dysfunction, characterised by coagulopathy and encephalopathy, and has a high mortality unless liver transplantation is performed. Population-based studies are scarce, and most published data are from high-income countries, where the main cause of acute liver failure is paracetamol overdose. This Review provides an overview of the scanty literature on acute liver failure in low-income and middle-income countries, where patients are often admitted to primary care hospitals and viral hepatitis (especially hepatitis E), tropical infections (eg, dengue), traditional medicines, and drugs (especially anti-tuberculosis drugs) have an important role. We discuss incidence, cause, occurrence in children and pregnant women, prognostic factors and scores, treatment, and mortality. To conclude, we advocate for international collaboration, the establishment of central registries for the condition, and better diagnostics.",2023-10-15,"[{'lastname': 'Vento', 'firstname': 'Sandro', 'initials': 'S', 'affiliation': 'Faculty of Medicine, University of Puthisastra, Phnom Penh, Cambodia. Electronic address: svento@puthisastra.edu.kh.'}, {'lastname': 'Cainelli', 'firstname': 'Francesca', 'initials': 'F', 'affiliation': 'Faculty of Medicine, University of Puthisastra, Phnom Penh, Cambodia.'}]",Enfermedad: Insuficiencia hepática aguda
Diagnostic performance of microRNA-29a in active pulmonary tuberculosis: a systematic review and meta-analysis.,"['Diagnosis', 'Meta-analysis', 'Tuberculosis', 'microRNA-29a']","Clinics (Sao Paulo, Brazil)","In recent years, more and more studies have shown that microRNA-29a (miRNA-29a) can be used as a potential biomarker for active tuberculosis, but the results of these studies are not consistent.
To comprehensively evaluate the value of miRNA-29a in the diagnosis of active tuberculosis by meta-analysis.
The databases of CNKI, WanFang, PubMed, The Cochrane Library, Web of Science and EMBASE were searched for relevant studies. Studies were screened strictly according to inclusion and exclusion criteria. QUADAS-2 scale was used to evaluate the quality of the included studies. Data were extracted and analyzed by Meta-DiSc 1.4 and Stata 16.0 software.
13 articles were included, including a total of 1598 subjects, including 872 active tuberculosis patients and 726 controls. The combined sensitivity and specificity of miRNA-29a in the diagnosis of active tuberculosis were 78 % and 76 %, respectively, and the area under the overall summary receiver operating characteristic curve was 0.8564.
miRNA-29a can be used as a biomarker for the diagnosis of active tuberculosis.",2023-10-15,"[{'lastname': 'Li', 'firstname': 'Xiaoying', 'initials': 'X', 'affiliation': 'Department of Clinical Laboratory, The Affiliated Hospital of Southwest Medical University, Luzhou, China; Department of Clinical Laboratory, Chongqing General Hospital, Chongqing, China. Electronic address: ivyyy22@163.com.'}, {'lastname': 'Xu', 'firstname': 'Yuehong', 'initials': 'Y', 'affiliation': 'Department of Clinical Laboratory, Chongqing General Hospital, Chongqing, China.'}, {'lastname': 'Liao', 'firstname': 'Pu', 'initials': 'P', 'affiliation': 'Department of Clinical Laboratory, The Affiliated Hospital of Southwest Medical University, Luzhou, China; Department of Clinical Laboratory, Chongqing General Hospital, Chongqing, China.'}]",Tuberculosis
Exploring the dark side of tertiary and quaternary structure dynamics in ,"['FBPase', 'MtbFBPaseII', 'molecular dynamics', 'mtb']",Journal of biomolecular structure & dynamics,"Tuberculosis (TB) is a major global cause of mortality, primarily stemming from latent tuberculosis infection (LTBI). Failure to fully treat LTBI can result in drug-resistant forms of TB. Therefore, it is essential to develop novel drugs with unique mechanisms of action to combat TB effectively. One crucial metabolic pathway in ",2023-10-15,"[{'lastname': 'Greco', 'firstname': 'Gabriel Luís Cardoso', 'initials': 'GLC', 'affiliation': 'Department of Pharmacy, School of Pharmaceutical Sciences, University of São Paulo, São Paulo, Brazil.'}, {'lastname': 'Segretti', 'firstname': 'Natanael', 'initials': 'N', 'affiliation': 'Spektra Scientific Solutions, São Paulo, Brazil.'}, {'lastname': 'Abad-Zapatero', 'firstname': 'Celerino', 'initials': 'C', 'affiliation': 'Institute for Tuberculosis Research, University of Illinois at Chicago, Chicago, IL, USA.\nCenter for Biomolecular Sciences, University of Illinois at Chicago, Chicago, IL, USA.'}, {'lastname': 'Movahedzadeh', 'firstname': 'Farahnaz', 'initials': 'F', 'affiliation': 'Institute for Tuberculosis Research, University of Illinois at Chicago, Chicago, IL, USA.\nDepartment of Pharmaceutical Sciences, University of Illinois at Chicago, Chicago, IL, USA.'}, {'lastname': 'Hirata', 'firstname': 'Mario Hiroyuki', 'initials': 'MH', 'affiliation': 'Department of Clinical and Toxicological Analyses, School of Pharmaceutical Sciences, University of Sao Paulo, São Paulo, Brazil.'}, {'lastname': 'Ferreira', 'firstname': 'Elizabeth Igne', 'initials': 'EI', 'affiliation': 'Department of Pharmacy, School of Pharmaceutical Sciences, University of São Paulo, São Paulo, Brazil.'}, {'lastname': 'Ferreira', 'firstname': 'Glaucio Monteiro', 'initials': 'GM', 'affiliation': 'Department of Clinical and Toxicological Analyses, School of Pharmaceutical Sciences, University of Sao Paulo, São Paulo, Brazil.'}]",Malaria.
Free energy landscape and thermodynamics properties of novel mutations in PncA of pyrazinamide resistance isolates of ,"['Drug resistance', 'FEL', 'MTB', 'PZA', 'mutations', 'simulation']",Journal of biomolecular structure & dynamics,"Pyrazinamide (PZA) is one of the first-line antituberculosis therapy, active against non-replicating ",2023-10-15,"[{'lastname': 'Tahir Khan', 'firstname': 'Muhammad', 'initials': 'M', 'affiliation': 'Zhongjing Research and Industrialization Institute of Chinese Medicine, Zhongguancun Scientific Park, Nanyang, PR China.\nInstitute of Molecular Biology and Biotechnology (IMBB), The University of Lahore, Lahore, Pakistan.'}, {'lastname': 'Dumont', 'firstname': 'Elise', 'initials': 'E', 'affiliation': ""Université Côte d'Azur, CNRS, Institut de Chimie de Nice, UMR7272, Nice, France.\nInstitut Universitaire de France, Paris, France.""}, {'lastname': 'Chaudhry', 'firstname': 'Aijaz Rasool', 'initials': 'AR', 'affiliation': 'Department of Physics, College of Science, University of Bisha, Bisha, Saudi Arabia.'}, {'lastname': 'Wei', 'firstname': 'Dong-Qing', 'initials': 'DQ', 'affiliation': 'Institut Universitaire de France, Paris, France.'}]","tuberculosis bacilli. It acts by disrupting the mycolic acid synthesis in the cell wall of the bacilli, leading to cell death. PZA is particularly effective against intracellular bacilli in acidic environments. It is often used in combination with other antituberculosis drugs to treat both drug-susceptible and multidrug-resistant tuberculosis.

Enfermedad: Tuberculosis"
Oral histories: lessons we can learn from the past.,"['COVID', 'Indigenous health', 'community responses', 'oral histories', 'outbreaks']",Global health promotion,"The COVID-19 pandemic has brought to light the importance of hindsight in response to global health crises. Although globalization has amplified worldwide perspectives, many lessons learned from past outbreaks in Indigenous communities have been overlooked. Oral histories are deeply rooted traditions that have played a significant role in the health practices of Indigenous communities across Canada. These practices can provide valuable insights into past epidemics or casualty events and their short- to long-term impacts. They have shaped responses to COVID-19, with Indigenous communities implementing self-determination efforts, such as community closures, contact tracing, and isolation measures. These traditions have heavily influenced population health practices in other contexts, such as the 1700 Cascadia earthquake, smallpox, and tuberculosis outbreaks. However, challenges remain in facilitating disease data transparency and Indigenous sovereignty. Efforts should be made to promote recognizing and respecting Indigenous knowledge and practices within the broader health system.",2023-10-15,"[{'lastname': 'Wang', 'firstname': 'Claire', 'initials': 'C', 'affiliation': 'Health, Behavior and Society Department, Johns Hopkins Bloomberg School of Public Health, Baltimore, USA.'}]",COVID-19
Phenotypes of Sarcoidosis-Associated Pulmonary Hypertension-A Challenging Mystery.,"['phenotypes', 'pulmonary hypertension', 'sarcoidosis', 'treatment']","Diagnostics (Basel, Switzerland)","Sarcoidosis has been a well-recognised risk factor for pulmonary hypertension (PH) for a long time, but still, the knowledge about this concatenation is incomplete. Sarcoidosis-associated PH (SAPH) is an uncommon but serious complication associated with increased morbidity and mortality among sarcoidosis patients. The real epidemiology of SAPH remains unknown, and its pathomechanisms are not fully explained. Sarcoidosis is a heterogeneous and dynamic condition, and SAPH pathogenesis is believed to be multifactorial. The main roles in SAPH development play: parenchymal lung disease with the destruction of pulmonary vessels, the extrinsic compression of pulmonary vessels by conglomerate masses, lymphadenopathy or fibrosing mediastinitis, pulmonary vasculopathy, LV dysfunction, and portal hypertension. Recently, it has been recommended to individually tailor SAPH management according to the predominant pathomechanism, i.e., SAPH phenotype. Unfortunately, SAPH phenotyping is not a straightforward process. First, there are gaps in our understanding of undergoing processes. Second, the assessment of such a pivotal element as pulmonary vasculature on a microscopic level is non-feasible in SAPH patients antemortem. Finally, SAPH is a dynamic condition, multiple phenotypes usually coexist, and patients can switch between phenotypes during the course of sarcoidosis. In this article, we summarise the basic knowledge of SAPH, describe SAPH phenotypes, and highlight some practical problems related to SAPH phenotyping.",2023-10-14,"[{'lastname': 'Kacprzak', 'firstname': 'Aneta', 'initials': 'A', 'affiliation': '1st Department of Lung Diseases, National Tuberculosis and Lung Diseases Institute, Plocka 26, 01-138 Warsaw, Poland.'}, {'lastname': 'Tomkowski', 'firstname': 'Witold', 'initials': 'W', 'affiliation': '1st Department of Lung Diseases, National Tuberculosis and Lung Diseases Institute, Plocka 26, 01-138 Warsaw, Poland.'}, {'lastname': 'Szturmowicz', 'firstname': 'Monika', 'initials': 'M', 'affiliation': '1st Department of Lung Diseases, National Tuberculosis and Lung Diseases Institute, Plocka 26, 01-138 Warsaw, Poland.'}]",Sarcoidosis-associated pulmonary hypertension (SAPH)
The Effect of Latent Tuberculosis Infection on Ovarian Reserve and Pregnancy Outcomes among Infertile Women Undergoing Intrauterine Insemination: A Retrospective Cohort Study with Propensity Score Matching.,"['intrauterine insemination', 'latent tuberculosis infection', 'ovarian reserve', 'pregnancy outcomes', 'propensity score matching']",Journal of clinical medicine,"Latent tuberculosis infection (LTBI) widely exists in patients with unexplained infertility, and whether LTBI would affect the ovarian reserve and pregnancy outcome of infertile women undergoing intrauterine insemination (IUI) is still unknown. A single-center, retrospective, cohort study was designed that included infertile women undergoing IUI at the Department of Reproductive Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology in Wuhan, China, from January 2018 to December 2020. The primary outcomes of this study were ovarian reserve and live birth rate. Secondary outcomes included pregnancy outcomes and maternal and neonatal complications. As a result, 3066 IUI cycles were eventually enrolled in this study. Of these women, 9.6% (295/3066) had LTBI evidence. After propensity score matching (PSM), there was no significant difference in the baseline between the LTBI and non-LTBI groups. The data showed that women who had LTBI had trends toward lower biochemical pregnancy rates (12.9% vs. 17.7%, ",2023-10-14,"[{'lastname': 'Chu', 'firstname': 'Yifan', 'initials': 'Y', 'affiliation': 'Department of Reproductive Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, China.'}, {'lastname': 'Chen', 'firstname': 'Ying', 'initials': 'Y', 'affiliation': 'Department of Obstetrics, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, China.'}, {'lastname': 'Yao', 'firstname': 'Wen', 'initials': 'W', 'affiliation': 'Department of Reproductive Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, China.'}, {'lastname': 'Wang', 'firstname': 'Luyao', 'initials': 'L', 'affiliation': 'Department of Reproductive Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, China.'}, {'lastname': 'Zhang', 'firstname': 'Bo', 'initials': 'B', 'affiliation': 'Department of Reproductive Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, China.'}, {'lastname': 'Jin', 'firstname': 'Lei', 'initials': 'L', 'affiliation': 'Department of Reproductive Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, China.'}, {'lastname': 'Yue', 'firstname': 'Jing', 'initials': 'J', 'affiliation': 'Department of Reproductive Medicine, Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan 430030, China.'}]",Enfermedad: Tuberculosis latente (LTBI)
HIV/Tuberculosis Coinfection in Pregnancy and the Postpartum Period.,"['HIV', 'TB', 'coinfection', 'postpartum', 'pregnancy']",Journal of clinical medicine,"The convergence of Human Immunodeficiency Virus (HIV) and tuberculosis (TB) represents a considerable global public health challenge. The concurrent infection of HIV and TB in pregnant women not only intensifies the transmission of HIV from mother to fetus but also engenders adverse outcomes for maternal health, pregnancy, and infant well-being, necessitating the implementation of integrated strategies to effectively address and manage both diseases. In this article, we review the pathophysiology, clinical presentation, treatment, and management of HIV/TB coinfection during pregnancy, the postpartum period, and lactation and highlight the differences compared to the general population.",2023-10-14,"[{'lastname': 'Yilma', 'firstname': 'Addis', 'initials': 'A', 'affiliation': 'Center for Tuberculosis Research, Division of Infectious Diseases, Department of Medicine, The Johns Hopkins University School of Medicine, Baltimore, MD 212875, USA.'}, {'lastname': 'Bailey', 'firstname': 'Hannah', 'initials': 'H', 'affiliation': 'Center for Tuberculosis Research, Division of Infectious Diseases, Department of Medicine, The Johns Hopkins University School of Medicine, Baltimore, MD 212875, USA.'}, {'lastname': 'Karakousis', 'firstname': 'Petros C', 'initials': 'PC', 'affiliation': 'Center for Tuberculosis Research, Division of Infectious Diseases, Department of Medicine, The Johns Hopkins University School of Medicine, Baltimore, MD 212875, USA.\nDepartment of Molecular Microbiology and Immunology, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD 21205, USA.'}, {'lastname': 'Karanika', 'firstname': 'Styliani', 'initials': 'S', 'affiliation': 'Center for Tuberculosis Research, Division of Infectious Diseases, Department of Medicine, The Johns Hopkins University School of Medicine, Baltimore, MD 212875, USA.'}]",Enfermedad: Coinfección de VIH y tuberculosis (TB).
The Effect of the COVID-19 Pandemic on Self-Reported Health Status and Smoking and Drinking Habits in the General Urban Population.,"['COVID-19', 'alcohol habits', 'health status', 'smoking habits']",Journal of clinical medicine,"The coronavirus disease 2019 pandemic created a significant crisis in global health. The aim of the study was to compare the impact of the COVID-19 pandemic on self-rated health status and smoking and alcohol habits. The Bialystok PLUS cohort study was conducted in 2018-2022. A total of 1222 randomly selected city residents were examined and divided into two groups: before and during the COVID-19 pandemic. The participants' lifestyle habits and medical history were collected from self-reported questionnaires. The Alcohol Use Disorders Identification Test (AUDIT) and the Fagerström Test for Nicotine Dependence (FTND) were used to assess the degree of alcohol and nicotine dependence. The survey revealed a reduced frequency of reported allergies vs. an increased frequency of reported sinusitis and asthma; increased incidence of declared hypercholesterolemia and visual impairment; a reduced number of cigarettes smoked per day, lower FTND score, and a greater desire to quit smoking in the next six months; and an increase in hs-CRP and FeNO levels in the population during the pandemic compared to the pre-pandemic population. The COVID-19 pandemic had a measurable impact on the general population's prevalence of certain medical conditions and lifestyle habits. Further research should continue to examine the long-term health implications of the pandemic.",2023-10-14,"[{'lastname': 'Chlabicz', 'firstname': 'Magdalena', 'initials': 'M', 'affiliation': 'Department of Population Medicine and Lifestyle Diseases Prevention, Medical University of Bialystok, 15-269 Bialystok, Poland.'}, {'lastname': 'Szum-Jakubowska', 'firstname': 'Aleksandra', 'initials': 'A', 'affiliation': 'Department of Population Medicine and Lifestyle Diseases Prevention, Medical University of Bialystok, 15-269 Bialystok, Poland.'}, {'lastname': 'Sowa', 'firstname': 'Paweł', 'initials': 'P', 'affiliation': 'Department of Population Medicine and Lifestyle Diseases Prevention, Medical University of Bialystok, 15-269 Bialystok, Poland.'}, {'lastname': 'Chlabicz', 'firstname': 'Małgorzata', 'initials': 'M', 'affiliation': 'Department of Population Medicine and Lifestyle Diseases Prevention, Medical University of Bialystok, 15-269 Bialystok, Poland.\nDepartment of Invasive Cardiology, Medical University of Bialystok, 15-276 Bialystok, Poland.'}, {'lastname': 'Sołomacha', 'firstname': 'Sebastian', 'initials': 'S', 'affiliation': 'Department of Population Medicine and Lifestyle Diseases Prevention, Medical University of Bialystok, 15-269 Bialystok, Poland.'}, {'lastname': 'Kiszkiel', 'firstname': 'Łukasz', 'initials': 'Ł', 'affiliation': 'Society and Cognition Unit, Institute of Sociology, University of Bialystok, 15-420 Bialystok, Poland.'}, {'lastname': 'Minarowski', 'firstname': 'Łukasz', 'initials': 'Ł', 'affiliation': '2nd Department of Lung Diseases and Tuberculosis, Medical University of Bialystok, Zurawia 14, 15-540 Bialystok, Poland.'}, {'lastname': 'Guziejko', 'firstname': 'Katarzyna', 'initials': 'K', 'affiliation': '2nd Department of Lung Diseases and Tuberculosis, Medical University of Bialystok, Zurawia 14, 15-540 Bialystok, Poland.'}, {'lastname': 'Laskowski', 'firstname': 'Piotr P', 'initials': 'PP', 'affiliation': 'Society and Cognition Unit, Institute of Sociology, University of Bialystok, 15-420 Bialystok, Poland.'}, {'lastname': 'Moniuszko-Malinowska', 'firstname': 'Anna M', 'initials': 'AM', 'affiliation': 'Department of Infectious Diseases and Neuroinfection, Medical University of Bialystok, 15-540 Bialystok, Poland.'}, {'lastname': 'Kamiński', 'firstname': 'Karol A', 'initials': 'KA', 'affiliation': 'Department of Population Medicine and Lifestyle Diseases Prevention, Medical University of Bialystok, 15-269 Bialystok, Poland.\nDepartment of Cardiology, Medical University of Bialystok, 15-276 Bialystok, Poland.'}]",La enfermedad sobre la que están hablando en este fragmento de [documento] es la COVID-19.
The Impact of COVID-19 on Cellular Factors Influencing Red Blood Cell Aggregation Examined in Dextran: Possible Causes and Consequences.,"['COVID-19', 'blood rheology', 'pneumonia', 'porosity of aggregates', 'red blood cells aggregation']",International journal of molecular sciences,"Several studies have indicated that COVID-19 can lead to alterations in blood rheology, including an increase in red blood cell aggregation. The precise mechanisms behind this phenomenon are not yet fully comprehended. The latest findings suggest that erythrocyte aggregation significantly influences microcirculation, causes the formation of blood clots in blood vessels, and even damages the endothelial glycocalyx, leading to endothelial dysfunction. The focus of this research lies in investigating the cellular factors influencing these changes in aggregation and discussing potential causes and implications in the context of COVID-19 pathophysiology. For this purpose, the aggregation of erythrocytes in a group of 52 patients with COVID-19 pneumonia was examined in a 70 kDa Dextran solution, which eliminates the influence of plasma factors. Using image analysis, the velocities and sizes of the formed aggregates were investigated, determining their porosity. This study showed that the process of erythrocyte aggregation in COVID-19 patients, independent of plasma factors, leads to the formation of more compact, denser, three-dimensional aggregates. These aggregates may be less likely to disperse under circulatory shear stress, increasing the risk of thrombotic events. This study also suggests that cellular aggregation factors can be responsible for the thrombotic disorders observed long after infection, even when plasma factors have normalized. The results and subsequent broad discussion presented in this study can contribute to a better understanding of the potential complications associated with increased erythrocyte aggregation.",2023-10-14,"[{'lastname': 'Bosek', 'firstname': 'Maciej', 'initials': 'M', 'affiliation': 'Department of Biophysics, Faculty of Pharmacy, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń, 85-067 Bydgoszcz, Poland.'}, {'lastname': 'Wybranowski', 'firstname': 'Tomasz', 'initials': 'T', 'affiliation': 'Department of Biophysics, Faculty of Pharmacy, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń, 85-067 Bydgoszcz, Poland.'}, {'lastname': 'Napiórkowska-Mastalerz', 'firstname': 'Marta', 'initials': 'M', 'affiliation': 'Department of Biophysics, Faculty of Pharmacy, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń, 85-067 Bydgoszcz, Poland.'}, {'lastname': 'Pyskir', 'firstname': 'Jerzy', 'initials': 'J', 'affiliation': 'Department of Biophysics, Faculty of Pharmacy, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń, 85-067 Bydgoszcz, Poland.'}, {'lastname': 'Cyrankiewicz', 'firstname': 'Michał', 'initials': 'M', 'affiliation': 'Department of Biophysics, Faculty of Pharmacy, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń, 85-067 Bydgoszcz, Poland.'}, {'lastname': 'Pyskir', 'firstname': 'Małgorzata', 'initials': 'M', 'affiliation': 'Department of Rehabilitation, Faculty of Health Sciences, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń, 85-067 Bydgoszcz, Poland.'}, {'lastname': 'Pilaczyńska-Cemel', 'firstname': 'Marta', 'initials': 'M', 'affiliation': 'Department of Lung Diseases, Neoplasms and Tuberculosis, Faculty of Medicine, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń, 85-067 Bydgoszcz, Poland.'}, {'lastname': 'Szołna-Chodór', 'firstname': 'Alicja', 'initials': 'A', 'affiliation': 'Department of Biophysics, Faculty of Pharmacy, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń, 85-067 Bydgoszcz, Poland.'}, {'lastname': 'Wrembel', 'firstname': 'Mateusz', 'initials': 'M', 'affiliation': 'Department of Lung Diseases, Neoplasms and Tuberculosis, Faculty of Medicine, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń, 85-067 Bydgoszcz, Poland.'}, {'lastname': 'Kruszewski', 'firstname': 'Stefan', 'initials': 'S', 'affiliation': 'Department of Biophysics, Faculty of Pharmacy, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń, 85-067 Bydgoszcz, Poland.'}, {'lastname': 'Przybylski', 'firstname': 'Grzegorz', 'initials': 'G', 'affiliation': 'Department of Lung Diseases, Neoplasms and Tuberculosis, Faculty of Medicine, Collegium Medicum in Bydgoszcz, Nicolaus Copernicus University in Toruń, 85-067 Bydgoszcz, Poland.'}]",COVID-19.
Drug-Tolerant ,"['Mycobacterium tuberculosis', 'Rv2623', 'alveolar macrophages', 'biomarkers', 'dormancy', 'drug tolerance', 'non-acid-fastness', 'persistence', 'pulmonary tuberculosis']",International journal of molecular sciences,The rapid spread of drug-resistant ,2023-10-14,"[{'lastname': 'Ufimtseva', 'firstname': 'Elena G', 'initials': 'EG', 'affiliation': 'Laboratory of Medical Biotechnology, Research Institute of Biochemistry, Federal Research Center of Fundamental and Translational Medicine, 2 Timakova Street, 630117 Novosibirsk, Russia.'}, {'lastname': 'Eremeeva', 'firstname': 'Natalya I', 'initials': 'NI', 'affiliation': 'Institute of Disinfectology, F.F. Erisman Federal Scientific Center of Hygiene of the Federal Service on Surveillance for Consumer Rights Protection and Human Well-Being, 18a Nauchniy Proezd, 117246 Moscow, Russia.\nScientific Department, Ural Research Institute for Phthisiopulmonology, National Medical Research Center of Tuberculosis and Infectious Diseases of Ministry of Health of the Russian Federation, 50 XXII Partsyezda Street, 620039 Yekaterinburg, Russia.'}]","bacteria poses a significant threat to public health. These bacteria are resistant to multiple antibiotics and can cause severe infections that are difficult to treat. Without effective antibiotics, common infections could become deadly.

Enfermedad: Resistencia a los antibióticos"
High and Low Levels of ,"['ABCB1', 'STAT3', 'chronic inflammation', 'pulmonary tuberculosis', 'signature of gene expressions']",International journal of molecular sciences,P-glycoprotein (encoded by the ,2023-10-14,"[{'lastname': 'Pavlova', 'firstname': 'Ekaterina N', 'initials': 'EN', 'affiliation': 'Central Tuberculosis Research Institute, 107564 Moscow, Russia.\nFaculty of Biology, Lomonosov Moscow State University, 119234 Moscow, Russia.'}, {'lastname': 'Lepekha', 'firstname': 'Larisa N', 'initials': 'LN', 'affiliation': 'Central Tuberculosis Research Institute, 107564 Moscow, Russia.'}, {'lastname': 'Rybalkina', 'firstname': 'Ekaterina Yu', 'initials': 'EY', 'affiliation': 'Central Tuberculosis Research Institute, 107564 Moscow, Russia.\nFSBI N.N. Blokhin National Medical Research Center of Oncology, 115478 Moscow, Russia.'}, {'lastname': 'Tarasov', 'firstname': 'Ruslan V', 'initials': 'RV', 'affiliation': 'Central Tuberculosis Research Institute, 107564 Moscow, Russia.'}, {'lastname': 'Sychevskaya', 'firstname': 'Ksenia A', 'initials': 'KA', 'affiliation': 'Central Tuberculosis Research Institute, 107564 Moscow, Russia.\nFSBI N.N. Blokhin National Medical Research Center of Oncology, 115478 Moscow, Russia.'}, {'lastname': 'Voronezhskaya', 'firstname': 'Elena E', 'initials': 'EE', 'affiliation': 'Koltzov Institute of Developmental Biology of Russian Academy of Sciences, 119334 Moscow, Russia.'}, {'lastname': 'Masyutin', 'firstname': 'Alexander G', 'initials': 'AG', 'affiliation': 'Central Tuberculosis Research Institute, 107564 Moscow, Russia.\nFaculty of Biology, Lomonosov Moscow State University, 119234 Moscow, Russia.'}, {'lastname': 'Ergeshov', 'firstname': 'Atadzhan E', 'initials': 'AE', 'affiliation': 'Director of the Institute, Central Tuberculosis Research Institute, 2 Yauzskaya Alleya, 107564 Moscow, Russia.'}, {'lastname': 'Erokhina', 'firstname': 'Maria V', 'initials': 'MV', 'affiliation': 'Central Tuberculosis Research Institute, 107564 Moscow, Russia.\nFaculty of Biology, Lomonosov Moscow State University, 119234 Moscow, Russia.'}]","ABCB1 gene) is an ATP-dependent efflux pump that plays a crucial role in drug resistance in various types of cancers. Overexpression of P-glycoprotein leads to decreased intracellular drug accumulation and decreased sensitivity to chemotherapeutic agents, leading to treatment failure and disease progression. Inhibition of P-glycoprotein has been shown to reverse drug resistance and improve the efficacy of chemotherapy. Therefore, targeting P-glycoprotein may offer a promising approach for overcoming drug resistance in cancer."
